City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
butaritari,66,KI,1573203993,65,3.07,172.79,84.99,5.32
sao filipe,100,CV,1573203993,80,14.9,-24.5,74.07,16.6
monrovia,20,LR,1573203848,94,6.33,-10.8,78.8,4.56
puerto ayora,95,EC,1573203993,91,-0.74,-90.35,68.94,6.15
waipawa,0,NZ,1573203994,94,-39.94,176.59,56.03,0.49
ugoofaaru,100,MV,1573203994,71,5.67,73.0,83.05,6.49
albany,1,US,1573203963,73,42.65,-73.75,26.6,5.82
taber,40,CA,1573203994,56,49.79,-112.14,41.0,29.97
batemans bay,33,AU,1573203994,90,-35.71,150.18,45.93,2.53
tiksi,88,RU,1573203994,93,71.64,128.87,-6.45,7.65
sokna,75,NO,1573203995,79,60.24,9.92,26.6,13.87
klaksvik,21,FO,1573203995,86,62.23,-6.59,26.6,1.12
cape town,0,ZA,1573203995,43,-33.93,18.42,69.8,5.82
sinop,60,TR,1573203995,68,42.03,35.15,66.2,5.82
avarua,100,CK,1573203995,88,-21.21,-159.78,73.4,5.82
mar del plata,0,AR,1573203996,42,-46.43,-67.52,46.29,8.14
rio cuarto,0,AR,1573203996,67,-33.13,-64.35,60.8,5.82
antalaha,79,MG,1573203996,79,-14.9,50.28,79.23,12.5
jamestown,2,AU,1573203996,54,-33.21,138.6,52.36,13.65
kinchil,40,MX,1573203996,94,20.92,-89.95,75.2,8.05
viedma,100,AR,1573203997,74,-40.81,-62.99,48.36,10.54
saldanha,3,PT,1573203997,79,41.42,-6.55,42.08,10.92
cache creek,20,CA,1573203997,92,50.81,-121.33,35.6,3.36
santo domingo,40,DO,1573203977,100,18.48,-69.94,73.4,5.82
barentsburg,40,DO,1573203977,100,18.48,-69.94,73.4,5.82
chingirlau,100,KZ,1573203997,70,51.09,54.08,49.71,12.08
nakanojo,0,JP,1573203998,68,36.61,138.81,44.19,9.04
longyearbyen,20,NO,1573203998,78,78.22,15.63,17.6,6.93
juneau,90,US,1573203998,100,58.3,-134.42,41.0,0.45
norman wells,90,CA,1573203998,92,65.28,-126.83,12.2,13.87
saint-philippe,90,CA,1573203998,68,45.36,-73.48,28.4,11.41
haines junction,100,CA,1573203998,98,60.75,-137.51,30.79,4.36
la palma,100,CO,1573203999,97,5.36,-74.39,66.6,2.26
gibara,5,CU,1573203999,100,21.11,-76.13,73.4,2.24
castro,100,CL,1573203999,85,-42.48,-73.76,36.48,2.77
qaanaaq,0,GL,1573203999,62,77.48,-69.36,-3.81,7.29
belushya guba,0,GL,1573203999,62,77.48,-69.36,-3.81,7.29
hokitika,51,NZ,1573203999,94,-42.72,170.96,58.6,17.38
arlit,0,NE,1573204000,10,18.74,7.39,92.08,9.66
broome,75,GB,1573204000,100,52.47,1.45,41.0,6.93
abu samrah,0,SY,1573204000,30,35.3,37.18,74.91,9.75
kahului,75,US,1573204000,83,20.89,-156.47,77.0,12.75
luderitz,23,NA,1573204000,40,-26.65,15.16,73.4,3.36
gallup,1,US,1573203982,92,35.53,-108.74,30.2,0.07
thiruvananthapuram,75,IN,1573203833,66,8.48,76.92,87.8,9.17
jiuquan,100,CN,1573204001,35,39.73,98.49,41.94,3.69
souillac,75,FR,1573204001,93,45.6,-0.6,46.4,6.93
yar-sale,0,RU,1573204001,92,66.83,70.83,-6.65,13.76
berlevag,75,NO,1573204002,92,70.86,29.09,21.2,9.17
laguna,75,BZ,1573204002,100,16.17,-88.94,75.2,2.64
kurilsk,19,RU,1573204002,72,45.23,147.88,33.08,7.76
leh,99,IN,1573204002,54,34.16,77.58,25.07,2.57
vestmanna,0,FO,1573204002,86,62.16,-7.17,26.6,1.12
maltahohe,13,NA,1573204003,15,-24.83,16.98,80.19,10.54
oktyabrskoye,90,RU,1573204003,96,56.73,85.44,32.0,17.9
saint anthony,1,US,1573204003,73,43.97,-111.68,24.8,3.36
provideniya,0,RU,1573204003,77,64.42,-173.23,20.8,14.41
fortuna,90,US,1573204004,100,40.6,-124.16,48.2,6.93
galle,0,GN,1573204004,73,10.08,-12.83,80.08,0.27
iqaluit,5,CA,1573204004,78,63.75,-68.52,12.2,17.22
tebingtinggi,100,ID,1573204004,90,3.33,99.16,75.25,1.07
chilca,75,PE,1573204004,76,-13.22,-72.34,48.2,3.0
balkhash,44,KZ,1573204004,31,46.84,74.98,41.0,11.18
caravelas,8,BR,1573204007,90,-17.73,-39.27,71.24,7.99
akdepe,0,TM,1573204007,18,42.05,59.39,60.8,6.93
villa guerrero,68,MX,1573204008,72,21.98,-103.59,60.69,2.75
faanui,18,PF,1573204008,80,-16.48,-151.75,80.98,18.99
codrington,0,AU,1573204008,7,-28.95,153.24,95.0,10.29
shimanovsk,0,RU,1573204008,78,52.0,127.67,11.86,7.09
uk,0,RU,1573204008,78,52.0,127.67,11.86,7.09
hasaki,20,JP,1573204009,66,35.73,140.83,55.4,5.82
pangnirtung,79,CA,1573204009,62,66.15,-65.72,15.21,1.92
maldonado,0,UY,1573203808,76,-34.91,-54.96,57.2,6.93
barrow,33,AR,1573204009,77,-38.31,-60.23,40.28,8.39
tubmanburg,11,LR,1573204009,81,6.87,-10.82,81.34,1.43
tongliao,0,CN,1573204009,49,43.61,122.27,40.14,6.76
cherskiy,100,RU,1573204010,71,68.75,161.3,18.43,3.4
evensk,47,RU,1573204010,78,61.92,159.24,22.86,11.86
samalaeulu,47,RU,1573204010,78,61.92,159.24,22.86,11.86
ancud,100,CL,1573204010,77,-41.87,-73.83,41.86,1.3
chara,40,GR,1573204010,72,39.42,22.43,64.4,4.14
dinguiraye,0,GN,1573204010,57,11.29,-10.71,82.42,2.59
narasannapeta,100,IN,1573204011,63,18.42,84.04,80.82,10.51
barbar,100,IN,1573204011,63,18.42,84.04,80.82,10.51
hami,55,CN,1573204011,34,42.84,93.51,47.23,13.15
saint george,40,GR,1573204011,72,39.45,22.34,64.4,4.14
ilorin,75,NG,1573203962,88,8.5,4.55,78.8,5.82
goderich,91,CA,1573204011,95,43.74,-81.71,22.51,3.89
ribeira grande,75,PT,1573204012,77,38.52,-28.7,60.8,4.7
antalya,0,TR,1573203931,29,36.9,30.69,78.8,4.7
rio gallegos,20,AR,1573204012,86,-51.62,-69.22,33.8,16.11
santa marta,100,CO,1573204012,83,11.24,-74.21,62.98,4.45
didwana,6,IN,1573204012,29,27.4,74.58,84.04,8.75
kargil,75,PK,1573204013,46,34.56,76.13,28.38,4.29
santa maria,40,BR,1573204013,88,-16.02,-48.01,69.8,2.24
auki,66,NG,1573204013,20,12.18,6.51,86.34,4.65
dalbandin,0,PK,1573204013,7,28.9,64.41,68.94,4.76
zhigansk,53,RU,1573204013,96,66.77,123.37,-21.14,8.34
khatanga,94,RU,1573204014,91,71.98,102.47,-9.77,13.27
rocha,0,UY,1573203866,91,-34.48,-54.34,51.96,4.99
bilma,0,NE,1573204014,11,18.69,12.92,91.72,8.79
lagoa,20,PT,1573204014,76,37.14,-8.45,55.4,3.36
phuket,40,TH,1573203758,69,7.89,98.4,86.0,6.93
kavieng,71,PG,1573204014,74,-2.57,150.8,84.22,9.28
poum,75,MK,1573204015,67,41.28,20.71,57.2,3.36
tuatapere,65,NZ,1573204015,99,-46.13,167.69,45.36,4.9
dudinka,20,RU,1573203774,75,69.41,86.18,-14.81,11.18
beloha,0,MG,1573204015,12,-25.17,45.06,102.79,14.27
praia da vitoria,40,PT,1573204015,100,38.73,-27.07,59.0,8.5
saskylakh,10,RU,1573204015,98,71.97,114.09,-25.1,6.85
vanimo,100,PG,1573204016,73,-2.67,141.3,83.16,7.99
mehamn,75,NO,1573204016,92,71.03,27.85,30.2,9.17
xinyu,0,CN,1573204016,39,27.8,114.93,68.38,6.51
riyadh,9,SA,1573204016,18,24.63,46.72,89.6,9.17
chapais,90,CA,1573204016,85,49.78,-74.86,21.2,10.29
kaz,100,RU,1573204016,74,53.11,87.55,36.93,4.56
vaitupu,100,RU,1573204016,74,53.11,87.55,36.93,4.56
sur,55,OM,1573204017,33,22.57,59.53,84.97,10.51
alexander city,90,US,1573204017,87,32.94,-85.95,55.4,9.17
sangar,93,RU,1573204017,99,63.92,127.47,-23.59,1.92
marsh harbour,23,BS,1573203916,77,26.54,-77.06,78.1,3.91
barcelos,98,BR,1573204018,81,-0.97,-62.93,74.55,2.84
viligili,98,BR,1573204018,81,-0.97,-62.93,74.55,2.84
bandarbeyla,0,SO,1573204018,65,9.49,50.81,81.39,5.06
severnyy,0,SO,1573204018,65,9.49,50.81,81.39,5.06
hilo,1,US,1573204018,73,19.71,-155.08,73.4,8.05
macusani,100,PE,1573204018,84,-14.07,-70.43,35.83,0.89
tiznit,0,MA,1573204019,31,29.7,-9.73,65.57,0.85
diffa,0,NE,1573204019,12,13.32,12.61,91.69,10.38
karasburg,65,NA,1573204019,13,-28.01,18.75,77.61,12.77
san quintin,10,PH,1573204019,85,17.54,120.52,80.2,4.79
kropotkin,100,RU,1573204019,35,45.43,40.58,70.75,4.9
viloco,59,BO,1573204020,90,-16.87,-67.5,39.96,3.18
richards bay,100,ZA,1573204020,78,-28.77,32.06,69.44,15.84
cartagena,20,ES,1573204020,47,37.63,-1.0,57.2,8.05
coihaique,100,CL,1573204020,93,-45.58,-72.07,37.4,3.36
grindavik,90,IS,1573204020,93,63.84,-22.43,39.2,27.51
alekseyevskoye,5,RU,1573204020,47,45.2,43.58,62.74,8.9
tasbuget,5,RU,1573204020,47,45.2,43.58,62.74,8.9
vila velha,40,BR,1573204021,74,-3.71,-38.6,78.8,9.17
strezhevoy,93,RU,1573204021,78,60.73,77.6,10.4,6.71
cairns,4,AU,1573204021,69,-16.92,145.77,77.0,3.36
scarborough,97,GB,1573204021,87,54.28,-0.41,44.6,11.41
parintins,66,BR,1573204021,75,-2.63,-56.73,76.66,3.13
log,90,SI,1573204022,100,46.0,15.32,42.8,2.24
panguna,100,PG,1573204022,97,-6.32,155.48,71.56,2.37
tarko-sale,96,RU,1573204022,94,64.92,77.78,-0.41,15.21
saleilua,96,RU,1573204022,94,64.92,77.78,-0.41,15.21
eureka,90,US,1573204022,100,40.8,-124.16,48.2,6.93
san patricio,29,PY,1573204023,98,-26.98,-56.83,68.81,4.12
moree,0,AU,1573204023,14,-29.46,149.84,84.2,24.16
mutsamudu,0,AU,1573204023,14,-29.46,149.84,84.2,24.16
constitucion,94,MX,1573204023,74,23.99,-104.67,61.11,4.74
dumai,98,ID,1573204023,77,1.68,101.45,80.98,2.71
north bend,90,US,1573204024,100,43.41,-124.22,42.8,2.48
amderma,90,US,1573204024,100,43.41,-124.22,42.8,2.48
rakaia,64,NZ,1573204024,40,-43.76,172.02,69.8,6.93
alice springs,0,AU,1573204024,11,-23.7,133.88,89.6,11.41
nizhniy tsasuchey,6,RU,1573204024,67,50.52,115.13,31.51,3.67
yerofey pavlovich,0,RU,1573204024,84,53.97,121.97,6.03,2.57
okhotsk,100,RU,1573204025,80,59.36,143.24,29.82,10.31
talcahuano,100,CL,1573204025,87,-36.72,-73.12,51.8,5.82
ustyuzhna,87,RU,1573204025,91,58.84,36.43,28.22,5.55
deputatskiy,36,RU,1573204025,93,69.3,139.9,-9.77,2.77
husavik,96,CA,1573204025,74,50.56,-96.99,16.07,12.97
kaputa,68,ZM,1573204026,38,-8.47,29.66,87.69,6.04
tsihombe,68,ZM,1573204026,38,-8.47,29.66,87.69,6.04
kaitangata,100,NZ,1573204026,71,-46.28,169.85,56.59,8.55
grand river south east,100,NZ,1573204026,71,-46.28,169.85,56.59,8.55
kanigiri,71,IN,1573204026,58,15.41,79.51,87.15,5.73
aklavik,90,CA,1573204027,72,68.22,-135.01,10.4,11.41
skjaerhollen,90,CA,1573204027,72,68.22,-135.01,10.4,11.41
mokhotlong,27,LS,1573204027,12,-29.29,29.06,65.89,22.24
bengkulu,27,LS,1573204027,12,-29.29,29.06,65.89,22.24
meadow lake,100,CA,1573204027,90,54.13,-108.44,19.67,4.99
mys shmidta,100,CA,1573204027,90,54.13,-108.44,19.67,4.99
kununurra,42,AU,1573204028,15,-15.77,128.74,104.0,5.82
palmer,40,AU,1573204028,47,-34.85,139.16,59.0,18.34
ilulissat,100,GL,1573204028,31,69.22,-51.1,35.6,18.34
nagram,0,IN,1573204028,39,26.62,81.14,84.2,2.24
lebu,30,ET,1573204028,44,8.96,38.73,69.31,4.52
rolim de moura,30,ET,1573204028,44,8.96,38.73,69.31,4.52
celestun,0,MX,1573204029,79,20.87,-90.4,80.37,13.65
keningau,75,MY,1573204030,83,5.33,116.16,82.4,5.82
prince rupert,90,CA,1573204030,100,54.32,-130.32,50.0,10.29
eloy,1,US,1573204030,44,32.76,-111.56,60.8,7.27
dagana,86,MR,1573204031,40,16.52,-15.51,73.4,2.24
leningradskiy,83,RU,1573204031,81,69.38,178.42,18.41,15.7
zyryanka,95,RU,1573204031,96,65.73,150.89,-0.13,6.8
port macquarie,90,AU,1573204031,60,-31.43,152.91,86.0,8.05
gidam,69,IN,1573204031,47,18.98,81.4,80.28,6.98
bikaner,0,IN,1573204032,23,28.02,73.32,82.04,11.48
tyukhtet,100,RU,1573204032,96,56.54,89.31,32.04,21.72
port elizabeth,40,US,1573204032,74,39.31,-74.98,42.8,4.7
camacupa,32,AO,1573204032,62,-12.02,17.48,76.77,4.23
seoul,1,KR,1573203856,31,37.57,126.98,51.8,1.12
nemuro,20,JP,1573203739,55,43.32,145.57,33.8,6.93
dunda,0,IN,1573204033,30,30.62,78.32,70.86,5.28
cidreira,0,BR,1573204033,86,-30.17,-50.22,68.23,5.37
chokurdakh,90,RU,1573204033,98,70.62,147.9,-7.37,5.35
east london,75,ZA,1573203929,49,-33.02,27.91,71.6,17.22
elliot lake,90,CA,1573204033,68,46.37,-82.65,24.8,8.05
banda aceh,89,ID,1573204033,80,5.56,95.32,80.47,2.82
adamovka,100,RU,1573204034,81,51.52,59.94,39.34,13.09
yanchukan,100,RU,1573204034,81,51.52,59.94,39.34,13.09
naze,75,NG,1573204034,88,5.43,7.07,82.4,2.82
vicuna,75,NG,1573204034,88,5.43,7.07,82.4,2.82
erenhot,0,CN,1573204034,35,43.65,111.97,41.56,6.46
la seyne-sur-mer,48,FR,1573204034,62,43.1,5.88,53.6,3.36
itoman,40,JP,1573204035,60,26.12,127.67,75.2,20.8
jishou,10,CN,1573204035,61,28.26,109.7,63.27,2.73
kosonsoy,0,UZ,1573204035,40,41.25,71.55,53.6,4.7
umzimvubu,0,UZ,1573204035,40,41.25,71.55,53.6,4.7
illoqqortoormiut,0,UZ,1573204035,40,41.25,71.55,53.6,4.7
yuancheng,0,UZ,1573204035,40,41.25,71.55,53.6,4.7
luau,18,CD,1573204036,53,-10.7,22.23,83.93,3.91
cabedelo,75,BR,1573204036,94,-6.97,-34.84,75.2,4.7
tsiroanomandidy,94,MG,1573204036,17,-18.77,46.05,95.02,1.86
airai,8,TL,1573204036,73,-8.93,125.41,73.27,5.86
vao,97,EE,1573204036,93,59.1,26.19,36.9,4.61
lavrentiya,0,RU,1573204036,75,65.58,-170.99,28.45,22.41
flinders,42,AU,1573204037,39,-34.58,150.85,62.6,19.46
kamaishi,75,JP,1573204037,64,39.28,141.86,46.4,2.24
masasi,0,TZ,1573204037,45,-10.73,38.81,89.64,8.48
arrecife,0,TZ,1573204037,45,-10.73,38.81,89.64,8.48
davlekanovo,90,RU,1573204037,74,54.22,55.03,35.6,8.95
upernavik,0,GL,1573204037,65,72.79,-56.15,5.77,7.76
kisangani,96,CD,1573204038,55,0.52,25.21,87.73,2.13
olinda,40,AU,1573204038,70,-37.84,145.39,48.2,11.41
bacuit,40,AU,1573204038,70,-37.84,145.39,48.2,11.41
barguzin,3,RU,1573204038,87,53.62,109.63,28.96,3.94
mahbubnagar,54,IN,1573204038,58,16.74,77.99,85.05,5.37
kassala,0,SD,1573204038,26,15.45,36.38,94.84,4.0
ust-ishim,100,RU,1573204039,86,57.69,71.17,24.13,12.71
kanniyakumari,44,IN,1573204039,78,8.08,77.57,82.74,17.31
hambantota,75,LK,1573204039,84,6.12,81.12,86.0,12.75
asau,75,LK,1573204039,84,6.12,81.12,86.0,12.75
macheng,0,CN,1573204039,34,31.18,115.03,66.07,2.28
povoa de varzim,20,PT,1573204039,93,41.38,-8.76,46.4,2.24
paris,90,FR,1573203860,93,48.86,2.35,42.8,4.7
atar,65,MR,1573204040,25,20.52,-13.05,72.09,4.99
sattahip,20,TH,1573203809,58,12.67,100.9,87.8,5.82
dingle,0,PH,1573204040,86,11.0,122.67,78.55,8.48
lata,73,IN,1573204040,79,30.78,78.62,31.1,5.93
yashalta,34,RU,1573204040,51,46.34,42.27,62.69,10.29
hukuntsi,57,BW,1573204041,13,-23.98,21.76,89.15,4.72
maketu,56,NZ,1573204041,99,-37.76,176.45,57.83,2.42
guerrero negro,100,MX,1573204041,78,27.97,-114.04,66.13,6.64
sao jose da coroa grande,54,BR,1573204041,73,-8.9,-35.15,79.93,13.4
buraydah,40,SA,1573204041,35,26.33,43.97,87.8,13.87
ksenyevka,40,SA,1573204041,35,26.33,43.97,87.8,13.87
itarema,15,BR,1573204042,80,-2.92,-39.92,76.01,6.67
khandyga,99,RU,1573204042,98,62.65,135.58,-8.45,1.7
zhumadian,0,CN,1573203760,44,33.01,114.02,65.07,4.21
salalah,20,OM,1573204042,58,17.01,54.1,86.0,6.93
raudeberg,20,NO,1573204042,60,61.99,5.14,32.0,6.93
luzon,1,US,1573204042,87,38.01,-122.25,53.6,1.95
sakakah,1,US,1573204042,87,38.01,-122.25,53.6,1.95
port keats,14,AU,1573204043,60,-14.25,129.55,86.86,13.35
morro bay,90,US,1573203860,93,35.37,-120.85,53.6,5.82
ndele,90,US,1573203860,93,35.37,-120.85,53.6,5.82
kaduqli,0,SD,1573204043,19,11.01,29.72,92.25,11.65
bafia,91,CM,1573204043,77,4.74,11.22,78.22,3.02
umm lajj,0,SA,1573204044,30,25.02,37.27,90.45,11.74
urumqi,0,SA,1573204044,30,25.02,37.27,90.45,11.74
rosario,0,UY,1573204044,68,-34.31,-57.35,63.41,20.47
isangel,11,VU,1573204044,81,-19.55,169.27,71.96,10.04
capreol,90,CA,1573204044,78,46.71,-80.92,15.8,9.17
port augusta,0,AU,1573204044,48,-32.49,137.76,60.8,24.16
namatanai,95,PG,1573204045,74,-3.66,152.44,84.43,9.98
tateyama,20,JP,1573204045,58,36.66,137.31,53.6,1.12
fairbanks,90,US,1573204045,79,64.84,-147.72,21.2,4.7
nampula,75,MZ,1573204045,55,-15.12,39.26,86.0,10.29
yekaterinovka,65,RU,1573204045,39,46.69,38.75,68.47,6.73
shahr-e babak,18,IR,1573204045,22,30.12,55.12,66.09,4.38
gimbi,0,ET,1573204046,52,8.81,37.79,65.08,9.55
waddan,0,LY,1573204046,47,29.16,16.14,68.14,7.25
noumea,90,NC,1573204046,73,-22.28,166.46,71.6,1.12
tagab,20,AF,1573204046,20,34.85,69.65,57.2,3.36
roma,75,IT,1573203941,93,41.89,12.48,64.4,14.99
pavilosta,100,LV,1573204046,100,56.89,21.19,42.8,5.82
sitka,0,US,1573204047,31,37.17,-99.65,32.47,5.53
baykit,100,RU,1573204047,98,61.68,96.39,33.28,9.57
zhezkazgan,91,KZ,1573204047,45,47.8,67.71,48.2,13.42
namibe,100,AO,1573204047,86,-15.19,12.15,73.44,6.82
nizhniy kuranakh,25,RU,1573204047,97,58.84,125.49,-9.28,1.43
adrasmon,0,TJ,1573204047,35,40.65,69.99,55.4,4.47
kaeo,90,NZ,1573204048,93,-35.1,173.78,64.56,14.14
alugan,0,PH,1573204048,79,12.22,125.48,82.98,7.27
taman,96,RU,1573204048,31,45.22,36.72,75.2,4.47
burica,96,RU,1573204048,31,45.22,36.72,75.2,4.47
sarahan,62,IN,1573204048,71,31.51,77.79,37.85,7.7
hamada,75,JP,1573204049,67,34.9,132.08,62.6,3.36
agadir,90,MA,1573204049,100,30.42,-9.58,55.4,3.36
sobolevo,100,RU,1573204049,86,54.43,31.9,44.64,3.89
touros,40,BR,1573204049,88,-5.2,-35.46,73.4,3.36
hauterive,90,CA,1573204049,79,49.18,-68.27,26.6,5.82
najran,0,SA,1573204049,21,17.54,44.22,82.4,6.93
moose factory,75,CA,1573204050,77,51.26,-80.61,5.0,4.7
raduzhnyy,100,RU,1573204050,91,62.1,77.47,4.96,9.24
kupang,20,ID,1573204050,55,-10.16,123.6,89.6,17.22
kenai,40,US,1573204050,93,60.55,-151.26,42.8,3.36
gamboula,97,CF,1573204050,60,4.12,15.14,82.71,3.78
marcona,97,CF,1573204050,60,4.12,15.14,82.71,3.78
alexandria,22,RO,1573203788,58,43.97,25.33,65.79,13.71
papayal,99,EC,1573204051,85,-3.57,-80.23,71.65,2.98
vostok,100,RU,1573204051,92,46.45,135.83,14.61,8.46
san policarpo,0,PH,1573204051,79,12.18,125.51,82.98,7.27
fort-shevchenko,0,KZ,1573204051,72,44.51,50.26,56.48,18.45
binika,100,IN,1573204051,58,21.03,83.8,81.1,5.19
rognan,20,NO,1573204052,67,67.1,15.4,23.0,16.11
kigoma,75,TZ,1573204052,78,-4.88,29.64,77.0,9.17
moron,0,HT,1573204052,83,18.56,-74.26,78.24,3.78
zaranj,0,AF,1573204052,14,30.95,61.86,69.8,13.87
chumikan,100,RU,1573204052,56,54.72,135.31,14.41,19.08
caucaia,40,BR,1573204052,74,-3.73,-38.66,78.8,9.17
gorontalo,0,ID,1573204053,68,0.54,123.06,81.7,3.24
tucurui,100,BR,1573204053,86,-3.77,-49.67,75.38,5.06
ulladulla,100,AU,1573204053,39,-35.36,150.48,62.6,19.46
waingapu,0,ID,1573204053,78,-9.65,120.26,83.16,15.14
